,종목 코드,상승 확률,하락 확률,변동 없는 확률,상승 확률 높은 순위
490,248070,0.5037037037037037,0.45185185185185184,0.044444444444444446,211.0
27,375500,0.5035460992907801,0.41134751773049644,0.0851063829787234,212.0
2063,085660,0.5,0.4637096774193548,0.036290322580645164,239.0
1888,023410,0.5,0.45161290322580644,0.04838709677419355,239.0
347,002270,0.5,0.4637096774193548,0.036290322580645164,239.0
1684,044780,0.5,0.43548387096774194,0.06451612903225806,239.0
2144,121850,0.5,0.4435483870967742,0.056451612903225805,239.0
2315,318000,0.5,0.46774193548387094,0.03225806451612903,239.0
2049,053050,0.5,0.43548387096774194,0.06451612903225806,239.0
5,001460,0.5,0.4314516129032258,0.06854838709677419,239.0
1903,303530,0.5,0.4523809523809524,0.047619047619047616,239.0
1643,080000,0.5,0.4798387096774194,0.020161290322580645,239.0
40,078935,0.5,0.3790322580645161,0.12096774193548387,239.0
2009,137950,0.5,0.4717741935483871,0.028225806451612902,239.0
1866,203450,0.5,0.4798387096774194,0.020161290322580645,239.0
865,267260,0.5,0.4596774193548387,0.04032258064516129,239.0
2384,115160,0.5,0.45161290322580644,0.04838709677419355,239.0
670,003780,0.5,0.49193548387096775,0.008064516129032258,239.0
2266,075130,0.5,0.4596774193548387,0.04032258064516129,239.0
2259,035200,0.5,0.4475806451612903,0.05241935483870968,239.0
1771,080520,0.5,0.46774193548387094,0.03225806451612903,239.0
810,004150,0.5,0.45161290322580644,0.04838709677419355,239.0
2241,119500,0.5,0.45564516129032256,0.04435483870967742,239.0
1032,060480,0.5,0.46774193548387094,0.03225806451612903,239.0
1856,038620,0.5,0.45161290322580644,0.04838709677419355,239.0
1332,019010,0.5,0.4153225806451613,0.0846774193548387,239.0
1733,048830,0.5,0.43951612903225806,0.06048387096774194,239.0
1862,192390,0.5,0.45161290322580644,0.04838709677419355,239.0
244,128820,0.5,0.45161290322580644,0.04838709677419355,239.0
267,006650,0.5,0.4717741935483871,0.028225806451612902,239.0
89,006260,0.5,0.4838709677419355,0.016129032258064516,239.0
2070,047820,0.5,0.4838709677419355,0.016129032258064516,239.0
1065,212560,0.5,0.45564516129032256,0.04435483870967742,239.0
647,030000,0.5,0.45161290322580644,0.04838709677419355,239.0
2199,064760,0.5,0.4798387096774194,0.020161290322580645,239.0
2016,094970,0.5,0.4798387096774194,0.020161290322580645,239.0
449,075180,0.5,0.43548387096774194,0.06451612903225806,239.0
572,070960,0.5,0.45564516129032256,0.04435483870967742,239.0
682,035720,0.5,0.45161290322580644,0.04838709677419355,239.0
2019,052670,0.5,0.47580645161290325,0.024193548387096774,239.0
1245,058470,0.5,0.4798387096774194,0.020161290322580645,239.0
413,005935,0.5,0.43951612903225806,0.06048387096774194,239.0
1562,127710,0.5,0.4475806451612903,0.05241935483870968,239.0
1111,008830,0.5,0.45161290322580644,0.04838709677419355,239.0
794,060980,0.5,0.46774193548387094,0.03225806451612903,239.0
520,004770,0.5,0.46774193548387094,0.03225806451612903,239.0
740,028670,0.5,0.47580645161290325,0.024193548387096774,239.0
992,032540,0.5,0.43951612903225806,0.06048387096774194,239.0
420,000810,0.5,0.41935483870967744,0.08064516129032258,239.0
516,004080,0.5,0.42338709677419356,0.07661290322580645,239.0
1924,080010,0.5,0.45564516129032256,0.04435483870967742,239.0
1628,270660,0.5,0.4435483870967742,0.056451612903225805,239.0
607,008250,0.5,0.4596774193548387,0.04032258064516129,239.0
238,005750,0.5,0.4435483870967742,0.056451612903225805,239.0
704,120115,0.5,0.4637096774193548,0.036290322580645164,239.0
2396,189980,0.4959677419354839,0.4838709677419355,0.020161290322580645,294.0
1796,109080,0.4959677419354839,0.4717741935483871,0.03225806451612903,294.0
584,005820,0.4959677419354839,0.3951612903225806,0.10887096774193548,294.0
4,138930,0.4959677419354839,0.4637096774193548,0.04032258064516129,294.0
1792,244460,0.4959677419354839,0.4879032258064516,0.016129032258064516,294.0
526,00279K,0.4959677419354839,0.43548387096774194,0.06854838709677419,294.0
2393,145020,0.4959677419354839,0.4879032258064516,0.016129032258064516,294.0
1359,086670,0.4959677419354839,0.45564516129032256,0.04838709677419355,294.0
1472,357780,0.4959677419354839,0.4879032258064516,0.016129032258064516,294.0
721,003240,0.4959677419354839,0.49193548387096775,0.012096774193548387,294.0
1200,134580,0.4959677419354839,0.45161290322580644,0.05241935483870968,294.0
315,002690,0.4959677419354839,0.46774193548387094,0.036290322580645164,294.0
862,017800,0.4959677419354839,0.46774193548387094,0.036290322580645164,294.0
